gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,high school,free/reduced,completed,"73","68","66"
female,group D,some college,free/reduced,none,"71","83","83"
female,group C,associate's degree,free/reduced,none,"64","73","68"
female,group C,master's degree,free/reduced,completed,"65","81","81"
female,group C,some high school,free/reduced,completed,"64","79","77"
female,group E,some college,free/reduced,none,"71","76","70"
female,group C,some high school,free/reduced,none,"65","86","80"
male,group B,bachelor's degree,free/reduced,none,"73","56","57"
female,group D,bachelor's degree,free/reduced,none,"73","79","84"
female,group D,some college,free/reduced,completed,"70","78","78"
male,group B,bachelor's degree,free/reduced,none,"88","75","76"
male,group D,high school,free/reduced,completed,"78","77","80"
male,group B,associate's degree,free/reduced,none,"67","62","60"
male,group D,associate's degree,free/reduced,none,"90","87","75"
male,group A,some college,free/reduced,completed,"81","78","81"
male,group D,some high school,free/reduced,none,"56","54","52"
female,group B,associate's degree,free/reduced,none,"53","71","67"
female,group C,associate's degree,free/reduced,completed,"68","67","69"
female,group D,associate's degree,free/reduced,none,"56","65","63"
female,group C,high school,free/reduced,completed,"67","79","84"
female,group B,some college,free/reduced,none,"61","68","66"
male,group C,high school,free/reduced,none,"58","61","52"
male,group D,high school,free/reduced,none,"75","74","66"
male,group D,some college,free/reduced,none,"59","62","61"
male,group C,bachelor's degree,free/reduced,none,"61","66","61"
male,group C,master's degree,free/reduced,none,"79","81","71"
female,group C,associate's degree,free/reduced,none,"57","78","67"
male,group E,some high school,free/reduced,completed,"73","67","59"
female,group B,high school,free/reduced,none,"50","67","63"
female,group D,high school,free/reduced,completed,"52","57","56"
female,group C,bachelor's degree,free/reduced,completed,"51","72","79"
male,group E,high school,free/reduced,completed,"57","56","54"
female,group C,associate's degree,free/reduced,completed,"82","93","93"
female,group C,some college,free/reduced,none,"62","67","62"
male,group C,some high school,free/reduced,none,"69","71","65"
male,group A,some high school,free/reduced,none,"65","59","53"
male,group C,some high school,free/reduced,none,"68","63","54"
male,group C,associate's degree,free/reduced,none,"64","66","59"
male,group D,associate's degree,free/reduced,none,"75","66","73"
female,group A,some high school,free/reduced,none,"59","73","69"
male,group A,some high school,free/reduced,none,"79","82","73"
male,group D,some college,free/reduced,none,"69","66","60"
female,group C,some college,free/reduced,completed,"64","85","85"
female,group C,associate's degree,free/reduced,none,"65","77","74"
female,group C,associate's degree,free/reduced,none,"53","61","62"
male,group C,bachelor's degree,free/reduced,none,"53","58","55"
female,group C,some college,free/reduced,none,"77","90","91"
male,group A,high school,free/reduced,completed,"72","67","65"
female,group A,high school,free/reduced,completed,"77","88","85"
female,group D,associate's degree,free/reduced,none,"52","59","56"
male,group C,some college,free/reduced,none,"68","68","61"
female,group C,associate's degree,free/reduced,none,"60","75","74"
male,group A,associate's degree,free/reduced,completed,"79","82","82"
female,group A,associate's degree,free/reduced,none,"65","85","76"
female,group D,some college,free/reduced,completed,"59","78","76"
male,group C,some college,free/reduced,none,"63","61","54"
male,group B,bachelor's degree,free/reduced,none,"55","59","54"
female,group B,master's degree,free/reduced,completed,"77","97","94"
female,group B,high school,free/reduced,completed,"67","78","79"
male,group C,master's degree,free/reduced,none,"54","59","50"
male,group C,some high school,free/reduced,completed,"56","61","60"
female,group C,bachelor's degree,free/reduced,completed,"66","83","83"
male,group D,associate's degree,free/reduced,completed,"79","82","80"
male,group E,some high school,free/reduced,completed,"78","83","80"
female,group C,high school,free/reduced,none,"62","67","64"
male,group C,some high school,free/reduced,none,"79","76","65"
male,group B,bachelor's degree,free/reduced,completed,"87","90","88"
male,group D,some college,free/reduced,none,"77","62","64"
male,group C,master's degree,free/reduced,none,"61","67","66"
female,group B,associate's degree,free/reduced,none,"53","70","70"
female,group D,some college,free/reduced,completed,"63","80","80"
female,group D,master's degree,free/reduced,completed,"61","71","78"
male,group D,bachelor's degree,free/reduced,none,"68","68","67"
female,group C,high school,free/reduced,completed,"50","66","64"
female,group D,bachelor's degree,free/reduced,none,"63","73","78"
male,group C,some college,free/reduced,none,"58","57","54"
male,group D,high school,free/reduced,none,"60","57","51"
male,group D,master's degree,free/reduced,completed,"84","89","90"
male,group D,some college,free/reduced,completed,"69","60","63"
male,group C,associate's degree,free/reduced,completed,"65","73","68"
male,group B,bachelor's degree,free/reduced,none,"62","63","56"
male,group C,high school,free/reduced,completed,"58","51","52"
female,group E,bachelor's degree,free/reduced,none,"61","58","62"
male,group B,associate's degree,free/reduced,completed,"69","70","63"
female,group B,high school,free/reduced,completed,"67","80","81"
female,group D,associate's degree,free/reduced,completed,"74","88","90"
female,group B,some high school,free/reduced,none,"72","81","79"
female,group E,high school,free/reduced,none,"64","62","68"
male,group C,some high school,free/reduced,completed,"51","56","53"
male,group C,associate's degree,free/reduced,none,"77","67","64"
male,group C,some college,free/reduced,none,"74","77","73"
female,group D,some college,free/reduced,none,"55","71","69"
female,group C,some high school,free/reduced,completed,"50","60","60"
female,group C,some college,free/reduced,completed,"63","73","71"
female,group B,bachelor's degree,free/reduced,none,"77","85","87"
female,group C,high school,free/reduced,none,"66","76","68"
male,group D,associate's degree,free/reduced,none,"52","57","50"
male,group D,associate's degree,free/reduced,none,"81","75","78"
male,group D,some college,free/reduced,none,"63","61","60"
male,group D,associate's degree,free/reduced,none,"77","78","73"
male,group E,some college,free/reduced,none,"93","90","83"
female,group E,associate's degree,free/reduced,none,"73","76","78"
female,group C,bachelor's degree,free/reduced,completed,"66","74","81"
female,group D,some college,free/reduced,none,"79","89","86"
male,group C,high school,free/reduced,none,"66","66","59"
female,group B,some high school,free/reduced,completed,"59","63","64"
male,group A,bachelor's degree,free/reduced,none,"62","72","65"
female,group B,associate's degree,free/reduced,completed,"76","94","87"
male,group E,associate's degree,free/reduced,completed,"91","73","80"
female,group C,some college,free/reduced,none,"62","72","70"
male,group D,some high school,free/reduced,completed,"55","59","59"
female,group B,some high school,free/reduced,completed,"74","90","88"
female,group D,high school,free/reduced,none,"73","92","84"
female,group B,associate's degree,free/reduced,completed,"68","77","80"
female,group E,some college,free/reduced,none,"53","58","57"
female,group B,some college,free/reduced,completed,"53","66","73"
male,group C,high school,free/reduced,none,"61","60","55"
female,group C,bachelor's degree,free/reduced,none,"50","60","59"
male,group C,master's degree,free/reduced,completed,"79","77","75"
male,group C,associate's degree,free/reduced,none,"58","55","53"
male,group E,bachelor's degree,free/reduced,completed,"70","68","72"
female,group D,some college,free/reduced,completed,"52","59","65"
female,group C,high school,free/reduced,none,"53","72","64"
male,group A,some college,free/reduced,none,"58","60","57"
female,group B,some high school,free/reduced,completed,"52","67","72"
female,group C,bachelor's degree,free/reduced,none,"62","78","79"
female,group B,high school,free/reduced,completed,"76","85","82"
female,group E,some high school,free/reduced,none,"72","79","77"
male,group C,associate's degree,free/reduced,none,"68","65","61"
female,group C,master's degree,free/reduced,none,"52","65","61"
female,group D,some college,free/reduced,none,"60","66","70"
male,group D,high school,free/reduced,none,"66","74","69"
female,group E,associate's degree,free/reduced,completed,"57","68","73"
female,group E,associate's degree,free/reduced,none,"70","84","81"
male,group A,some college,free/reduced,none,"75","81","74"
female,group D,some college,free/reduced,none,"64","74","75"
male,group D,bachelor's degree,free/reduced,completed,"61","70","76"
female,group B,high school,free/reduced,none,"60","72","68"
female,group D,bachelor's degree,free/reduced,none,"78","90","93"
female,group B,high school,free/reduced,none,"71","87","82"
female,group C,associate's degree,free/reduced,completed,"56","68","70"
female,group D,some high school,free/reduced,completed,"69","86","81"
female,group A,some college,free/reduced,none,"61","60","57"
female,group C,bachelor's degree,free/reduced,completed,"74","86","89"
male,group B,associate's degree,free/reduced,completed,"58","57","53"
male,group B,some college,free/reduced,completed,"74","77","76"
male,group B,some college,free/reduced,none,"75","68","65"
male,group C,associate's degree,free/reduced,none,"87","73","72"
female,group E,master's degree,free/reduced,none,"81","86","87"
male,group C,high school,free/reduced,none,"59","53","52"
male,group E,associate's degree,free/reduced,completed,"78","74","72"
male,group E,associate's degree,free/reduced,none,"90","90","82"
male,group C,some college,free/reduced,none,"80","64","66"
female,group B,high school,free/reduced,none,"64","73","71"
male,group C,high school,free/reduced,none,"54","72","59"
female,group D,some college,free/reduced,none,"69","65","74"
female,group A,master's degree,free/reduced,none,"50","67","73"
female,group B,some high school,free/reduced,completed,"63","78","79"
female,group D,some high school,free/reduced,none,"67","84","84"
female,group C,bachelor's degree,free/reduced,none,"67","75","72"
male,group D,high school,free/reduced,none,"69","70","67"
female,group B,associate's degree,free/reduced,none,"54","65","65"
male,group D,high school,free/reduced,none,"74","70","69"
male,group E,associate's degree,free/reduced,none,"64","56","52"
female,group D,high school,free/reduced,completed,"65","61","71"
male,group C,some college,free/reduced,completed,"67","74","70"
male,group D,some college,free/reduced,none,"62","57","62"
male,group D,associate's degree,free/reduced,completed,"61","71","73"
male,group C,bachelor's degree,free/reduced,completed,"70","75","74"
male,group D,some college,free/reduced,none,"70","63","58"
female,group E,high school,free/reduced,none,"57","58","57"
male,group C,master's degree,free/reduced,completed,"72","66","72"
male,group A,some high school,free/reduced,completed,"61","62","61"
female,group E,high school,free/reduced,completed,"57","75","73"
female,group E,some high school,free/reduced,none,"74","74","72"
female,group C,some high school,free/reduced,completed,"65","76","75"
female,group A,high school,free/reduced,completed,"53","50","60"
male,group B,some college,free/reduced,completed,"60","62","60"
female,group D,some college,free/reduced,completed,"67","86","83"
male,group E,high school,free/reduced,completed,"86","81","75"
female,group D,associate's degree,free/reduced,none,"55","76","76"
female,group D,bachelor's degree,free/reduced,none,"62","72","74"
male,group C,high school,free/reduced,none,"62","55","55"
female,group C,high school,free/reduced,completed,"59","71","65"
female,group D,some college,free/reduced,none,"77","86","86"
